latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.2491,-76.7277,308.3,2.3,1.5,2008-01-02,1818,Aqua,MODIS,0,6.2,289.9,15.4,D,0
-7.1832,-75.3358,332.8,1.8,1.3,2008-01-02,1818,Aqua,MODIS,87,6.2,292.5,66.7,D,0
-7.1156,-75.2789,323.3,1.8,1.3,2008-01-02,1818,Aqua,MODIS,61,6.2,292.1,37.6,D,0
-8.201,-74.9144,318,1.8,1.3,2008-01-02,1818,Aqua,MODIS,76,6.2,292.9,28.1,D,0
-8.6262,-74.764,341.9,1.7,1.3,2008-01-02,1818,Aqua,MODIS,92,6.2,293.6,92.1,D,0
-8.5103,-75.0028,314.1,1.8,1.3,2008-01-02,1818,Aqua,MODIS,71,6.2,293.4,16.8,D,0
-8.6242,-74.7484,327,1.7,1.3,2008-01-02,1818,Aqua,MODIS,83,6.2,291.7,43.8,D,0
-8.5124,-75.019,315,1.8,1.3,2008-01-02,1818,Aqua,MODIS,72,6.2,291.6,18.1,D,0
-8.4009,-74.7572,302.9,1.2,1.1,2008-01-03,0344,Terra,MODIS,52,6.2,290.9,5.1,N,0
-8.4376,-75.02,304,1.2,1.1,2008-01-03,0344,Terra,MODIS,58,6.2,291.4,6.3,N,0
-8.3999,-74.7637,307.8,1.2,1.1,2008-01-03,0344,Terra,MODIS,73,6.2,291,9.6,N,0
-8.4026,-74.768,303.1,1.2,1.1,2008-01-03,0344,Terra,MODIS,53,6.2,290.9,5.1,N,0
-6.7368,-79.7537,327.9,1,1,2008-01-03,1902,Aqua,MODIS,64,6.2,302.7,10.1,D,0
-6.5495,-79.86,330.2,1,1,2008-01-03,1902,Aqua,MODIS,60,6.2,296.1,16.1,D,0
-11.1468,-77.5711,329,1.5,1.2,2008-01-04,1516,Terra,MODIS,75,6.2,302.2,19.9,D,0
-12.869,-72.6896,315,1,1,2008-01-04,1516,Terra,MODIS,45,6.2,298.5,7,D,0
-5.021,-80.5772,330.9,1.1,1.1,2008-01-05,1557,Terra,MODIS,79,6.2,304.7,14.5,D,0
-11.3791,-75.9156,317.3,1,1,2008-01-05,1848,Aqua,MODIS,43,6.2,290,10.4,D,0
-11.0068,-75.9502,323.8,1,1,2008-01-05,1848,Aqua,MODIS,38,6.2,293.2,20.2,D,0
-6.6991,-76.1424,347.2,1.1,1,2008-01-05,1849,Aqua,MODIS,94,6.2,293.8,56.4,D,0
-6.6912,-76.1534,351.5,1.1,1,2008-01-05,1849,Aqua,MODIS,96,6.2,295.2,66.7,D,0
-5.1023,-80.0997,323.9,1.1,1,2008-01-05,1850,Aqua,MODIS,64,6.2,294.9,11.4,D,0
-15.4522,-75.0564,311.4,1.4,1.2,2008-01-06,1505,Terra,MODIS,46,6.2,295,17.8,D,3
-7.0209,-79.6745,361.1,1,1,2008-01-07,1545,Terra,MODIS,100,6.2,300.3,74,D,0
-7.3149,-79.3664,333.2,1,1,2008-01-07,1545,Terra,MODIS,74,6.2,302.4,18.4,D,0
-7.0298,-79.6758,336.8,1,1,2008-01-07,1545,Terra,MODIS,85,6.2,299.6,24.1,D,0
-4.8282,-80.5455,338.2,1,1,2008-01-07,1545,Terra,MODIS,86,6.2,297.7,25.9,D,0
-6.7647,-79.6003,325.7,1,1,2008-01-07,1545,Terra,MODIS,63,6.2,302.1,11.6,D,0
-7.0222,-79.6655,335.1,1,1,2008-01-07,1545,Terra,MODIS,83,6.2,300.2,20.7,D,0
-5.5942,-78.5725,316.7,1.1,1.1,2008-01-09,1533,Terra,MODIS,57,6.2,298,8.1,D,0
-6.7243,-79.8181,323,1.2,1.1,2008-01-09,1533,Terra,MODIS,75,6.2,296.7,14.3,D,0
-6.726,-79.8069,339.4,1.2,1.1,2008-01-09,1533,Terra,MODIS,89,6.2,296.7,44.7,D,0
