latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.3125,-75.2156,306.1,2.4,1.5,2011-01-01,0307,Terra,MODIS,67,6.2,290.9,18.3,N,0
-6.4865,-78.8586,318.6,1.1,1.1,2011-01-01,1532,Terra,MODIS,63,6.2,298.2,10.2,D,0
-5.7653,-74.7636,314.3,1.1,1,2011-01-01,1532,Terra,MODIS,31,6.2,298.3,6.1,D,0
-5.756,-74.7623,320.2,1.1,1,2011-01-01,1532,Terra,MODIS,74,6.2,299,11.8,D,0
-5.0402,-80.2239,327.3,1.4,1.2,2011-01-01,1532,Terra,MODIS,57,6.2,300.5,13.4,D,0
-7.724,-79.0755,327.4,1.1,1.1,2011-01-01,1533,Terra,MODIS,56,6.2,300.9,12.1,D,0
-8.8675,-74.0259,313.5,1.2,1.1,2011-01-01,1825,Aqua,MODIS,65,6.2,293.7,9.3,D,0
-6.0842,-76.4316,321.8,1.6,1.2,2011-01-01,1826,Aqua,MODIS,78,6.2,292.8,29.7,D,0
-6.0861,-76.4454,328,1.6,1.2,2011-01-01,1826,Aqua,MODIS,84,6.2,292.3,43.8,D,0
-7.3153,-75.2101,328.9,1.4,1.2,2011-01-01,1826,Aqua,MODIS,63,6.2,298.4,33,D,0
-7.1169,-76.1194,314.7,1.6,1.2,2011-01-01,1826,Aqua,MODIS,62,6.2,296.1,12.8,D,0
-7.1194,-76.1265,318.4,1.6,1.2,2011-01-01,1826,Aqua,MODIS,70,6.2,295.8,18.5,D,0
-6.8737,-76.0928,313.8,1.6,1.2,2011-01-01,1826,Aqua,MODIS,32,6.2,294.5,13.7,D,0
-5.2182,-73.8449,313.1,1.1,1,2011-01-01,1826,Aqua,MODIS,52,6.2,298.2,5.5,D,0
-7.317,-75.2224,322.9,1.4,1.2,2011-01-01,1826,Aqua,MODIS,59,6.2,297.6,22.1,D,0
-7.2018,-76.2325,359.9,1.6,1.3,2011-01-01,1826,Aqua,MODIS,99,6.2,293.7,162.8,D,0
-6.956,-76.104,311.4,1.6,1.2,2011-01-01,1826,Aqua,MODIS,42,6.2,292.9,9.3,D,0
-6.0349,-76.3292,312.4,1.6,1.2,2011-01-01,1826,Aqua,MODIS,66,6.2,294.1,11.8,D,0
-4.1375,-72.97,312.9,1,1,2011-01-01,1826,Aqua,MODIS,57,6.2,298.9,5.6,D,0
-7.2039,-76.2479,324.5,1.6,1.3,2011-01-01,1826,Aqua,MODIS,79,6.2,291.8,33.8,D,0
-5.9027,-76.1129,313.1,1.5,1.2,2011-01-01,1826,Aqua,MODIS,0,6.2,293.8,11.1,D,0
-6.7738,-76.1102,317.3,1.6,1.2,2011-01-01,1826,Aqua,MODIS,72,6.2,293.4,19.4,D,0
-6.82,-76.1192,315.9,1.6,1.2,2011-01-01,1826,Aqua,MODIS,70,6.2,294.7,16.5,D,0
-7.3553,-75.192,325.3,1.4,1.2,2011-01-01,1826,Aqua,MODIS,69,6.2,296.9,23.4,D,0
-4.2429,-73.4513,318,1,1,2011-01-01,1826,Aqua,MODIS,66,6.2,299.5,10.2,D,0
