latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.8874,-79.5226,331.5,1,1,2004-01-01,1854,Aqua,MODIS,70,6.2,302,12.1,D,0
-6.8887,-79.5316,328.7,1,1,2004-01-01,1854,Aqua,MODIS,55,6.2,302.2,8.9,D,0
-4.5405,-79.9679,332,1,1,2004-01-01,1854,Aqua,MODIS,57,6.2,305.4,13.6,D,0
-4.5392,-79.9589,330.9,1,1,2004-01-01,1854,Aqua,MODIS,55,6.2,303.1,12.1,D,0
-3.5323,-80.4843,325.4,1,1,2004-01-03,1551,Terra,MODIS,0,6.2,296.8,12.7,D,0
-4.8447,-80.8294,330.6,1,1,2004-01-03,1552,Terra,MODIS,69,6.2,299.2,13.1,D,0
-11.2709,-74.4375,319.2,1,1,2004-01-03,1840,Aqua,MODIS,67,6.2,295.7,11,D,0
-9.2972,-75.9982,316.5,1,1,2004-01-03,1840,Aqua,MODIS,48,6.2,299.1,7.5,D,0
-8.491,-76.4117,315.5,1,1,2004-01-03,1841,Aqua,MODIS,72,6.2,293.9,7.7,D,0
-8.6977,-76.3139,313,1,1,2004-01-03,1841,Aqua,MODIS,67,6.2,294.7,6,D,0
-8.8455,-76.2523,317,1,1,2004-01-03,1841,Aqua,MODIS,73,6.2,295.2,8.8,D,0
-8.4897,-76.4027,327,1,1,2004-01-03,1841,Aqua,MODIS,83,6.2,294.8,18.7,D,0
-8.6964,-76.3048,316.8,1,1,2004-01-03,1841,Aqua,MODIS,73,6.2,295.5,9.2,D,0
-8.4574,-76.4314,318.2,1,1,2004-01-03,1841,Aqua,MODIS,75,6.2,294.2,10.3,D,0
-8.7926,-76.2658,326.4,1,1,2004-01-03,1841,Aqua,MODIS,82,6.2,296.1,17.7,D,0
-8.8813,-76.1825,322.5,1,1,2004-01-03,1841,Aqua,MODIS,78,6.2,294.6,14.6,D,0
-6.333,-76.5699,315.3,1,1,2004-01-03,1841,Aqua,MODIS,62,6.2,290.5,9,D,0
-8.817,-76.2438,322.1,1,1,2004-01-03,1841,Aqua,MODIS,75,6.2,292.6,13.8,D,0
-4.8704,-80.8203,325.9,1.5,1.2,2004-01-03,1842,Aqua,MODIS,51,6.2,298.1,12.4,D,0
-4.8626,-80.8159,329,1.5,1.2,2004-01-03,1842,Aqua,MODIS,70,6.2,296.8,19,D,0
-6.4667,-79.7467,322.5,2.7,1.6,2004-01-04,1924,Aqua,MODIS,49,6.2,293.4,30.6,D,0
-8.4432,-74.608,320.1,1.1,1,2004-01-05,1828,Aqua,MODIS,69,6.2,296.1,11.2,D,0
-8.3762,-74.8537,341.6,1.1,1,2004-01-05,1828,Aqua,MODIS,91,6.2,292.4,50.5,D,0
-8.1763,-74.2636,315.7,1,1,2004-01-05,1828,Aqua,MODIS,70,6.2,294.6,9.3,D,0
-8.5832,-74.4278,315.1,1.1,1,2004-01-05,1828,Aqua,MODIS,69,6.2,293.7,8,D,0
-8.5965,-74.8407,329.8,1.1,1,2004-01-05,1828,Aqua,MODIS,79,6.2,283.3,29.4,D,0
-8.385,-74.6417,316.5,1.1,1,2004-01-05,1828,Aqua,MODIS,70,6.2,296,7.8,D,0
-8.5951,-74.8307,313.5,1.1,1,2004-01-05,1828,Aqua,MODIS,66,6.2,285.9,9.7,D,0
-8.2053,-74.7393,313.5,1.1,1,2004-01-05,1828,Aqua,MODIS,67,6.2,293.7,6.6,D,0
-8.4326,-74.5996,317.5,1.1,1,2004-01-05,1828,Aqua,MODIS,72,6.2,295.5,7.8,D,0
-8.5845,-74.4374,315.8,1.1,1,2004-01-05,1828,Aqua,MODIS,70,6.2,294.2,9,D,0
-8.649,-74.3596,312.5,1.1,1,2004-01-05,1828,Aqua,MODIS,61,6.2,293.6,5.9,D,0
-8.4446,-74.6177,326.8,1.1,1,2004-01-05,1828,Aqua,MODIS,82,6.2,295.4,19.3,D,0
-8.2426,-74.734,314,1.1,1,2004-01-05,1828,Aqua,MODIS,67,6.2,293.1,7,D,0
-8.6239,-74.3145,320.2,1.1,1,2004-01-05,1828,Aqua,MODIS,76,6.2,295.6,11.9,D,0
-8.2374,-74.7648,328.7,1.1,1,2004-01-05,1828,Aqua,MODIS,84,6.2,293.6,23.6,D,0
-8.2388,-74.7746,316.7,1.1,1,2004-01-05,1828,Aqua,MODIS,72,6.2,293.7,9.4,D,0
-8.2836,-74.7825,322.4,1.1,1,2004-01-05,1828,Aqua,MODIS,78,6.2,292.3,15.9,D,0
-8.8103,-74.8492,309.1,1.1,1.1,2004-01-05,1828,Aqua,MODIS,53,6.2,290.6,7.1,D,0
-8.7366,-74.0066,323,1,1,2004-01-05,1828,Aqua,MODIS,78,6.2,295.3,16.2,D,0
-6.3575,-76.5827,314.3,1.3,1.1,2004-01-05,1829,Aqua,MODIS,71,6.2,290.2,10,D,0
-6.9039,-75.2273,320.7,1.1,1.1,2004-01-05,1829,Aqua,MODIS,76,6.2,293,15,D,0
-6.7923,-76.7076,316.2,1.3,1.1,2004-01-05,1829,Aqua,MODIS,72,6.2,291.7,14,D,0
-6.9025,-75.2173,328.9,1.1,1.1,2004-01-05,1829,Aqua,MODIS,84,6.2,294.1,25.3,D,0
-7.4749,-76.252,309.7,1.3,1.1,2004-01-05,1829,Aqua,MODIS,36,6.2,292.3,7.5,D,0
-7.3167,-76.6553,313.5,1.3,1.1,2004-01-05,1829,Aqua,MODIS,65,6.2,292.3,10.5,D,0
-6.3941,-76.4759,318.9,1.3,1.1,2004-01-05,1829,Aqua,MODIS,72,6.2,290.1,16.4,D,0
-7.7955,-79.2866,324.9,2.1,1.4,2004-01-05,1829,Aqua,MODIS,78,6.2,298.7,35.5,D,0
-6.4266,-76.4148,316.6,1.3,1.1,2004-01-05,1829,Aqua,MODIS,73,6.2,291,12,D,0
-6.4707,-76.5844,320.1,1.3,1.1,2004-01-05,1829,Aqua,MODIS,59,6.2,289.7,16.7,D,0
-6.9133,-75.226,327.4,1.1,1.1,2004-01-05,1829,Aqua,MODIS,82,6.2,293.5,22.7,D,0
-6.9119,-75.216,349.7,1.1,1.1,2004-01-05,1829,Aqua,MODIS,95,6.2,294.8,64.3,D,0
-7.315,-76.643,312.3,1.3,1.1,2004-01-05,1829,Aqua,MODIS,63,6.2,292.4,9.4,D,0
-6.4196,-76.4379,326.6,1.3,1.1,2004-01-05,1829,Aqua,MODIS,83,6.2,291.7,25.2,D,0
-6.4281,-76.4255,320.5,1.3,1.1,2004-01-05,1829,Aqua,MODIS,78,6.2,291.9,16.7,D,0
-6.8134,-79.6798,335.7,1.5,1.2,2004-01-06,1912,Aqua,MODIS,82,6.2,299.6,39.4,D,0
-6.8041,-79.7655,327.4,1.5,1.2,2004-01-06,1912,Aqua,MODIS,78,6.2,299.7,20.1,D,0
-7.7618,-79.1868,324.5,1.6,1.3,2004-01-06,1912,Aqua,MODIS,60,6.2,301.4,15.8,D,0
-3.5863,-80.5216,336.2,1.5,1.2,2004-01-06,1913,Aqua,MODIS,82,6.2,296.7,42.2,D,0
-17.4898,-71.3496,309.9,1,1,2004-01-07,0601,Aqua,MODIS,68,6.2,284.7,12.4,N,0
-10.6806,-77.6101,336.7,1.2,1.1,2004-01-08,1858,Aqua,MODIS,88,6.2,301.9,25.9,D,0
-10.7336,-77.7458,330.7,1.2,1.1,2004-01-08,1858,Aqua,MODIS,83,6.2,302.3,18.7,D,0
-7.792,-79.238,326.8,1.1,1,2004-01-08,1859,Aqua,MODIS,63,6.2,302.4,9.9,D,0
-4.748,-80.3362,327.6,1,1,2004-01-08,1900,Aqua,MODIS,74,6.2,301.4,12.7,D,0
-6.7239,-79.8082,320.8,1,1,2004-01-08,1900,Aqua,MODIS,47,6.2,283.8,7.4,D,0
-8.0629,-78.8507,341.6,2.1,1.4,2004-01-09,1516,Terra,MODIS,91,6.2,295.1,96.8,D,0
-8.0663,-78.8299,323.7,2.1,1.4,2004-01-09,1516,Terra,MODIS,77,6.2,296.1,22.5,D,0
-7.0766,-76.4942,301.4,1.1,1,2004-01-10,0333,Terra,MODIS,41,6.2,288.6,3.7,N,0
-6.4882,-76.3676,309.9,2.4,1.5,2004-01-10,1558,Terra,MODIS,31,6.2,288.6,14.9,D,0
-5.4349,-76.547,306.2,2.2,1.4,2004-01-10,1558,Terra,MODIS,50,6.2,285,9.1,D,0
-9.5355,-78.0291,331.5,1,1,2004-01-10,1846,Aqua,MODIS,83,6.2,299.8,17.6,D,0
-5.8136,-78.6326,327.3,1,1,2004-01-10,1847,Aqua,MODIS,52,6.2,301.3,15,D,0
-5.9871,-78.1741,319.1,1,1,2004-01-10,1847,Aqua,MODIS,60,6.2,299.1,9.7,D,0
