latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.5337,-79.9599,325.6,1.1,1.1,2003-01-02,1539,Terra,MODIS,52,6.2,302.8,12.3,D,0
-9.2982,-76,312.9,1.2,1.1,2003-01-02,1540,Terra,MODIS,56,6.2,297.1,9.7,D,0
-6.4727,-79.6744,327.6,1.1,1,2003-01-02,1540,Terra,MODIS,75,6.2,304.1,12.3,D,0
-12.7077,-72.9258,325.8,1,1,2003-01-02,1827,Aqua,MODIS,72,6.2,293.3,20.2,D,0
-10.8818,-75.0611,311,1.2,1.1,2003-01-02,1827,Aqua,MODIS,49,6.2,295.2,6.9,D,0
-12.6973,-72.918,318,1,1,2003-01-02,1827,Aqua,MODIS,70,6.2,295,12.1,D,0
-10.8803,-75.05,312.9,1.2,1.1,2003-01-02,1827,Aqua,MODIS,69,6.2,295.6,8.8,D,0
-11.0615,-75.3334,312.1,1.3,1.1,2003-01-02,1827,Aqua,MODIS,43,6.2,296.6,8.6,D,0
-10.906,-75.0849,318.5,1.2,1.1,2003-01-02,1827,Aqua,MODIS,75,6.2,295.6,14.7,D,0
-7.2213,-74.9768,326.2,1.1,1,2003-01-02,1828,Aqua,MODIS,81,6.2,294.1,20.8,D,0
-7.6147,-76.812,316,1.4,1.2,2003-01-02,1828,Aqua,MODIS,71,6.2,294,16,D,0
-7.3177,-74.9366,322.2,1.1,1,2003-01-02,1828,Aqua,MODIS,77,6.2,295.1,15.8,D,0
-8.4462,-75.2763,312,1.2,1.1,2003-01-02,1828,Aqua,MODIS,59,6.2,293.9,9.1,D,0
-8.2479,-74.7439,314.7,1.1,1,2003-01-02,1828,Aqua,MODIS,64,6.2,294.3,7,D,0
-7.1504,-76.5606,327.3,1.3,1.1,2003-01-02,1828,Aqua,MODIS,75,6.2,294.9,26.4,D,0
-7.1518,-76.5547,322.5,1.3,1.1,2003-01-02,1828,Aqua,MODIS,58,6.2,297.5,16.9,D,0
-8.7005,-75.0524,313.7,1.1,1.1,2003-01-02,1828,Aqua,MODIS,25,6.2,294.7,7.1,D,0
-8.6989,-74.9687,318,1.1,1.1,2003-01-02,1828,Aqua,MODIS,72,6.2,295.4,10.2,D,0
-8.7306,-75.0587,321.3,1.1,1.1,2003-01-02,1828,Aqua,MODIS,76,6.2,293.5,15.5,D,0
-8.7413,-74.9941,313.7,1.1,1.1,2003-01-02,1828,Aqua,MODIS,49,6.2,295.4,6.6,D,0
-8.2937,-74.6918,321.3,1.1,1,2003-01-02,1828,Aqua,MODIS,76,6.2,297.1,13.3,D,0
-7.613,-76.7994,319.9,1.4,1.2,2003-01-02,1828,Aqua,MODIS,71,6.2,294.1,21.7,D,0
