latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-14.9573,-75.14,330.3,4,1.9,2007-01-01,1805,Aqua,MODIS,21,6.2,303.9,72.1,D,0
-3.5874,-80.5261,321.4,1.1,1,2007-01-02,1556,Terra,MODIS,73,6.2,298.6,7.2,D,0
-6.7057,-79.8727,334.9,1.3,1.1,2007-01-02,1557,Terra,MODIS,84,6.2,299.6,32.7,D,0
-6.3718,-79.3344,324.7,1,1,2007-01-04,1545,Terra,MODIS,68,6.2,299.5,16,D,0
-5.2021,-80.0205,327.2,1,1,2007-01-04,1545,Terra,MODIS,59,6.2,302.1,13,D,0
-5.2007,-80.0295,327.6,1,1,2007-01-04,1545,Terra,MODIS,65,6.2,303.8,13.1,D,0
-7.1417,-75.1937,313.3,1,1,2007-01-04,1837,Aqua,MODIS,61,6.2,294.5,6.6,D,0
-8.313,-74.8234,322.2,1,1,2007-01-04,1837,Aqua,MODIS,65,6.2,297.7,12.1,D,0
-4.793,-80.3255,329.1,1.4,1.2,2007-01-06,1532,Terra,MODIS,77,6.2,298.2,21.2,D,0
-6.7724,-79.778,331,1.2,1.1,2007-01-06,1533,Terra,MODIS,78,6.2,300,18.3,D,0
-8.6909,-74.6334,312.7,1.3,1.1,2007-01-06,1825,Aqua,MODIS,67,6.2,293.6,10.1,D,0
-8.403,-74.9069,313.6,1.4,1.2,2007-01-06,1825,Aqua,MODIS,67,6.2,294.1,9.5,D,0
-8.2744,-74.7947,352.5,1.3,1.1,2007-01-06,1825,Aqua,MODIS,97,6.2,295.7,93.4,D,0
-8.288,-74.8174,316.3,1.3,1.1,2007-01-06,1825,Aqua,MODIS,52,6.2,292.9,11.5,D,0
-8.5338,-74.9904,319.8,1.4,1.2,2007-01-06,1825,Aqua,MODIS,60,6.2,292.8,17.5,D,0
-8.2728,-74.7827,320.6,1.3,1.1,2007-01-06,1825,Aqua,MODIS,77,6.2,294.8,18.3,D,0
-8.5383,-74.9962,324.6,1.4,1.2,2007-01-06,1825,Aqua,MODIS,80,6.2,293.3,25.6,D,0
-3.5935,-80.5157,320.1,3.1,1.7,2007-01-06,1826,Aqua,MODIS,63,6.2,292.2,41,D,0
-6.9788,-76.3217,339.6,2.1,1.4,2007-01-07,1908,Aqua,MODIS,90,6.2,291.8,92.9,D,0
-8.4357,-74.9003,311.8,2.3,1.5,2007-01-08,1813,Aqua,MODIS,46,6.2,290.8,15.9,D,0
-8.4325,-74.8939,311.5,2.3,1.5,2007-01-08,1813,Aqua,MODIS,65,6.2,290.9,16.1,D,0
-8.2941,-74.819,311.9,2.3,1.5,2007-01-08,1813,Aqua,MODIS,40,6.2,291.6,16.6,D,0
-8.4265,-75.1396,318.5,2.4,1.5,2007-01-08,1813,Aqua,MODIS,58,6.2,291.1,44.4,D,0
-8.4237,-75.118,315.7,2.4,1.5,2007-01-08,1813,Aqua,MODIS,56,6.2,290.4,35.2,D,0
-3.5397,-80.347,323,1.4,1.2,2007-01-09,1603,Terra,MODIS,62,6.2,293.9,16.1,D,0
