latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.6906,-79.4301,354.3,1,1,2012-01-02,1545,Terra,MODIS,97,6.2,300.4,58.3,D,0
-6.6919,-79.4211,328.6,1,1,2012-01-02,1545,Terra,MODIS,62,6.2,300.7,12.3,D,0
-6.4829,-79.9012,329.5,1,1,2012-01-02,1545,Terra,MODIS,75,6.2,301.9,12.3,D,0
-11.2604,-74.6457,313.1,1,1,2012-01-02,1836,Aqua,MODIS,28,6.2,293.7,4.1,D,0
-11.354,-75.9939,312.7,1.1,1.1,2012-01-02,1836,Aqua,MODIS,25,6.2,289.7,11.6,D,0
-11.3635,-75.9925,341.4,1.1,1.1,2012-01-02,1836,Aqua,MODIS,91,6.2,294.1,52.4,D,0
-8.7884,-74.8508,314.8,1,1,2012-01-02,1837,Aqua,MODIS,65,6.2,295.5,6.6,D,0
-9.2995,-75.9974,314.8,1.1,1,2012-01-02,1837,Aqua,MODIS,28,6.2,298.2,7.3,D,0
-7.3646,-76.0277,309.5,1.1,1,2012-01-02,1837,Aqua,MODIS,55,6.2,288.5,5.1,D,0
-7.4596,-76.3919,312,1.1,1,2012-01-02,1837,Aqua,MODIS,65,6.2,294.6,6.4,D,0
-7.9728,-74.806,313.7,1,1,2012-01-02,1837,Aqua,MODIS,63,6.2,296.1,6.3,D,0
-8.5856,-75.0413,315.6,1,1,2012-01-02,1837,Aqua,MODIS,67,6.2,296,6.6,D,0
-7.1883,-76.4883,314.3,1.1,1,2012-01-02,1837,Aqua,MODIS,53,6.2,293.1,7.1,D,0
-8.5901,-74.295,335.4,1,1,2012-01-02,1837,Aqua,MODIS,0,6.2,290.8,29.8,D,0
-8.9872,-74.7565,319.8,1,1,2012-01-02,1837,Aqua,MODIS,74,6.2,296.9,10.5,D,0
-7.1869,-76.4785,317.2,1.1,1,2012-01-02,1837,Aqua,MODIS,72,6.2,291.5,9.9,D,0
-8.2308,-74.7404,311.1,1,1,2012-01-02,1837,Aqua,MODIS,51,6.2,295.3,4,D,0
-8.5133,-74.4693,313.3,1,1,2012-01-02,1837,Aqua,MODIS,53,6.2,295.4,5.5,D,0
-8.5863,-74.3323,311.8,1,1,2012-01-02,1837,Aqua,MODIS,55,6.2,294,5,D,0
-8.6113,-74.9631,316.6,1,1,2012-01-02,1837,Aqua,MODIS,48,6.2,296.6,7.7,D,0
-8.634,-74.7309,331.3,1,1,2012-01-02,1837,Aqua,MODIS,84,6.2,296.5,24.2,D,0
-8.3568,-74.7255,312.6,1,1,2012-01-02,1837,Aqua,MODIS,58,6.2,295.8,4.3,D,0
-8.5353,-74.7518,319.6,1,1,2012-01-02,1837,Aqua,MODIS,73,6.2,296.3,10.5,D,0
-8.3752,-75.3049,313.7,1,1,2012-01-02,1837,Aqua,MODIS,64,6.2,295.3,6.5,D,0
-7.7276,-75.1527,315,1,1,2012-01-02,1837,Aqua,MODIS,67,6.2,295.9,7.9,D,0
-6.777,-79.7607,322.3,2,1.4,2012-01-03,1921,Aqua,MODIS,51,6.2,297.2,14.1,D,0
-8.4149,-74.8798,313.4,1.4,1.2,2012-01-04,1825,Aqua,MODIS,69,6.2,293,9.6,D,0
-7.4604,-76.5512,311.2,1.7,1.3,2012-01-04,1825,Aqua,MODIS,64,6.2,292.4,12.1,D,0
-8.2509,-74.7911,312.2,1.3,1.1,2012-01-04,1825,Aqua,MODIS,66,6.2,294.5,8.4,D,0
-8.4011,-73.954,313.2,1.2,1.1,2012-01-04,1825,Aqua,MODIS,68,6.2,293.3,10.1,D,0
-6.7819,-76.2761,313.8,1.6,1.2,2012-01-04,1825,Aqua,MODIS,39,6.2,290.7,14.6,D,0
-6.9378,-76.243,313.6,1.6,1.2,2012-01-04,1825,Aqua,MODIS,67,6.2,292.8,12.2,D,0
-6.0023,-76.8763,319.4,2,1.4,2012-01-05,1908,Aqua,MODIS,57,6.2,292.9,31.4,D,0
-5.9999,-76.882,319.6,2,1.4,2012-01-05,1908,Aqua,MODIS,71,6.2,293.3,32.8,D,0
-10.9316,-74.8728,315.5,1,1,2012-01-06,1521,Terra,MODIS,28,6.2,299.7,6.5,D,0
-17.491,-71.352,341.7,1.6,1.2,2012-01-06,1523,Terra,MODIS,68,6.2,302.2,64.2,D,0
-12.2559,-76.4049,302.4,3.5,1.8,2012-01-06,1812,Aqua,MODIS,0,6.2,285.1,42.8,D,0
-6.0194,-76.2407,326.3,2.7,1.6,2012-01-06,1813,Aqua,MODIS,84,6.2,291.7,81.9,D,0
-6.0229,-76.2353,325.3,2.7,1.6,2012-01-06,1813,Aqua,MODIS,83,6.2,291.6,77.2,D,0
-6.0557,-76.1576,310.1,2.7,1.6,2012-01-06,1813,Aqua,MODIS,67,6.2,291.5,20.7,D,0
-1.6984,-75.5227,302.3,2,1.4,2012-01-06,1814,Aqua,MODIS,9,6.2,283.5,5,D,0
-4.838,-80.8348,325.2,1.3,1.1,2012-01-07,1603,Terra,MODIS,73,6.2,296,17.1,D,0
-9.2995,-75.9984,317.4,1,1,2012-01-09,1843,Aqua,MODIS,42,6.2,299.6,8.8,D,0
-8.9552,-78.4824,334.6,1.2,1.1,2012-01-09,1843,Aqua,MODIS,69,6.2,305.1,22.7,D,0
-10.9318,-74.8731,320.3,1,1,2012-01-09,1843,Aqua,MODIS,48,6.2,301.9,9.3,D,0
-5.66,-76.4728,324.2,1,1,2012-01-09,1844,Aqua,MODIS,80,6.2,291.9,16.9,D,0
-6.2674,-76.6677,317.8,1,1,2012-01-09,1844,Aqua,MODIS,64,6.2,290.7,10.8,D,0
-5.9734,-76.2837,315.5,1,1,2012-01-09,1844,Aqua,MODIS,70,6.2,295.5,7.2,D,0
-5.7818,-77.1975,316.7,1,1,2012-01-09,1844,Aqua,MODIS,51,6.2,296.4,8.8,D,0
-6.7159,-76.1997,313.6,1,1,2012-01-09,1844,Aqua,MODIS,40,6.2,295.4,6,D,0
-10.0075,-77.8758,302.6,1.8,1.3,2012-01-10,0408,Terra,MODIS,50,6.2,290.9,10.3,N,0
-8.0863,-78.891,301.6,2,1.4,2012-01-10,0709,Aqua,MODIS,43,6.2,285.6,15.2,N,0
-5.3421,-76.2806,312.8,1.1,1,2012-01-11,1538,Terra,MODIS,61,6.2,292.6,9.3,D,0
