latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.1614,-76.3119,341.8,1,1,2015-01-01,1844,Aqua,MODIS,91,6.2,299.4,37.3,D,0
-8.6064,-74.7818,316.9,1,1,2015-01-01,1844,Aqua,MODIS,53,6.2,292.2,9.2,D,0
-6.4961,-76.6068,317.5,1,1,2015-01-01,1844,Aqua,MODIS,68,6.2,294.4,10,D,0
-7.132,-76.5548,328.4,1,1,2015-01-01,1844,Aqua,MODIS,82,6.2,298.5,17.4,D,0
-7.2116,-76.3348,342.4,1,1,2015-01-01,1844,Aqua,MODIS,92,6.2,298,37.7,D,0
-7.1602,-76.3671,331.5,1,1,2015-01-01,1844,Aqua,MODIS,77,6.2,296.7,19.5,D,0
-7.1307,-76.5458,326.4,1,1,2015-01-01,1844,Aqua,MODIS,81,6.2,298.3,14.2,D,0
-7.299,-76.1147,311.4,1,1,2015-01-01,1844,Aqua,MODIS,41,6.2,292.3,5.8,D,0
-8.2744,-75.158,314,1,1,2015-01-01,1844,Aqua,MODIS,63,6.2,296.1,6.3,D,0
-7.294,-76.3353,326.9,1,1,2015-01-01,1844,Aqua,MODIS,81,6.2,296,17.7,D,0
-8.3173,-75.2637,351.2,1,1,2015-01-01,1844,Aqua,MODIS,96,6.2,297.5,59.8,D,0
-7.1034,-76.4178,324.3,1,1,2015-01-01,1844,Aqua,MODIS,78,6.2,301.3,12.8,D,0
-8.393,-74.6443,316.9,1,1,2015-01-01,1844,Aqua,MODIS,63,6.2,295.9,6,D,0
-7.2154,-76.69,327.3,1,1,2015-01-01,1844,Aqua,MODIS,81,6.2,293.3,15.6,D,0
-8.3186,-75.2728,325.5,1,1,2015-01-01,1844,Aqua,MODIS,80,6.2,296.3,17.3,D,0
-8.3076,-73.996,319.7,1.1,1,2015-01-01,1844,Aqua,MODIS,72,6.2,295.1,12.6,D,0
-4.8429,-80.4478,325.2,1.2,1.1,2015-01-03,1539,Terra,MODIS,34,6.2,303.2,7.3,D,0
-7.6563,-79.2783,327.4,1,1,2015-01-03,1539,Terra,MODIS,62,6.2,303.5,7.3,D,0
-9.2987,-75.9999,315.5,1.3,1.1,2015-01-03,1831,Aqua,MODIS,29,6.2,297.4,11.8,D,0
-9.3016,-76.0047,315.1,1.3,1.1,2015-01-03,1831,Aqua,MODIS,34,6.2,297.5,11,D,0
-6.7425,-79.6616,323.5,2.2,1.4,2015-01-03,1832,Aqua,MODIS,46,6.2,297.3,24.4,D,0
-7.5492,-76.4731,315.4,1.3,1.1,2015-01-03,1832,Aqua,MODIS,70,6.2,290.6,16.3,D,0
-8.9414,-78.5674,323,1.7,1.3,2015-01-04,1914,Aqua,MODIS,41,6.2,296.6,19.5,D,0
-4.5659,-79.8379,326.1,1.7,1.3,2015-01-05,1526,Terra,MODIS,60,6.2,300.7,30.1,D,0
-12.5917,-69.1899,313.2,2.2,1.4,2015-01-06,1433,Terra,MODIS,0,6.2,292.4,18.8,D,0
-3.6106,-80.5074,319.3,1.7,1.3,2015-01-06,1609,Terra,MODIS,65,6.2,296.3,13.5,D,0
-3.6108,-80.5168,326.8,1.7,1.3,2015-01-06,1609,Terra,MODIS,80,6.2,296,29.9,D,0
-3.6085,-80.5223,322.1,1.7,1.3,2015-01-06,1609,Terra,MODIS,74,6.2,296.2,19.4,D,0
-6.7639,-79.4937,323.8,2.3,1.5,2015-01-06,1610,Terra,MODIS,62,6.2,298.2,30,D,0
-6.7335,-79.8109,326.1,2.1,1.4,2015-01-06,1610,Terra,MODIS,79,6.2,297.1,37.6,D,0
-6.7329,-79.8176,320,2.1,1.4,2015-01-06,1610,Terra,MODIS,72,6.2,296.8,19.6,D,0
-6.7354,-79.7984,321.7,2.2,1.4,2015-01-06,1610,Terra,MODIS,74,6.2,297,23.7,D,0
-10.5445,-77.7311,341,1.1,1.1,2015-01-06,1902,Aqua,MODIS,82,6.2,302.6,32.4,D,0
-4.7308,-80.3105,336,1,1,2015-01-06,1903,Aqua,MODIS,67,6.2,302.7,21.8,D,0
-4.5363,-79.9049,322.9,3.1,1.7,2015-01-07,1514,Terra,MODIS,35,6.2,299.4,49.1,D,0
-4.5353,-79.9115,322.1,3.1,1.7,2015-01-07,1514,Terra,MODIS,65,6.2,299.2,49.7,D,0
-12.1235,-69.1136,314.4,1.3,1.1,2015-01-07,1806,Aqua,MODIS,72,6.2,294.6,12.4,D,0
-10.9291,-74.8796,320,1.1,1.1,2015-01-08,1849,Aqua,MODIS,58,6.2,301.9,11.4,D,0
-7.8299,-79.3084,323.3,1.1,1,2015-01-08,1850,Aqua,MODIS,64,6.2,302.6,8.8,D,0
-7.3121,-76.8308,323.7,1,1,2015-01-08,1850,Aqua,MODIS,77,6.2,297,14.8,D,0
-7.3211,-76.8295,329.6,1,1,2015-01-08,1850,Aqua,MODIS,82,6.2,295.8,21.5,D,0
-7.6418,-76.5027,361.9,1,1,2015-01-08,1850,Aqua,MODIS,100,6.2,296.3,86.1,D,0
-11.8411,-72.9505,300.5,1.2,1.1,2015-01-10,0319,Terra,MODIS,29,6.2,289.9,4.1,N,0
-6.0401,-79.8102,326.5,1,1,2015-01-10,1545,Terra,MODIS,29,6.2,301.3,7.2,D,0
-8.336,-78.9058,330,1,1,2015-01-10,1546,Terra,MODIS,72,6.2,302.7,17.5,D,0
-8.4534,-78.8607,330.2,1.1,1,2015-01-10,1546,Terra,MODIS,84,6.2,298,19,D,0
-8.3346,-78.9152,327.2,1,1,2015-01-10,1546,Terra,MODIS,52,6.2,301.9,13.1,D,0
-8.4442,-78.8594,328,1.1,1,2015-01-10,1546,Terra,MODIS,82,6.2,296.8,16.5,D,0
-11.0703,-77.5955,320.8,1.4,1.2,2015-01-10,1837,Aqua,MODIS,29,6.2,297.7,12.2,D,0
-12.1052,-77.2066,312.4,2.5,1.5,2015-01-11,1920,Aqua,MODIS,28,6.2,294.9,32.5,D,3
-6.907,-79.5648,325.1,1.2,1.1,2015-01-12,1533,Terra,MODIS,65,6.2,301.1,11.1,D,0
-11.1272,-75.3589,310.7,1.2,1.1,2015-01-12,1534,Terra,MODIS,57,6.2,295.9,7.3,D,0
-8.4089,-78.7735,325.9,1.1,1,2015-01-12,1534,Terra,MODIS,59,6.2,300.3,9.7,D,0
-10.9666,-74.8816,308.7,1.5,1.2,2015-01-12,1825,Aqua,MODIS,32,6.2,292,8.7,D,0
-8.7827,-74.2263,313.3,1.3,1.1,2015-01-12,1826,Aqua,MODIS,68,6.2,292.7,10.6,D,0
-8.7842,-74.2375,308.7,1.3,1.1,2015-01-12,1826,Aqua,MODIS,49,6.2,292.6,6.1,D,0
-9.087,-78.1706,319.1,1,1,2015-01-13,0350,Terra,MODIS,98,6.2,290.3,17.4,N,0
