Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_061_Line_Y_250m,MOD13Q1_061_Sample_X_250m,MOD13Q1_061__250m_16_days_EVI,MOD13Q1_061__250m_16_days_MIR_reflectance,MOD13Q1_061__250m_16_days_NDVI,MOD13Q1_061__250m_16_days_NIR_reflectance,MOD13Q1_061__250m_16_days_blue_reflectance,MOD13Q1_061__250m_16_days_composite_day_of_the_year,MOD13Q1_061__250m_16_days_red_reflectance,MOD13Q1_061__250m_16_days_relative_azimuth_angle,MOD13Q1_061__250m_16_days_sun_zenith_angle,MOD13Q1_061__250m_16_days_view_zenith_angle,MOD13Q1_061__250m_16_days_VI_Quality,MOD13Q1_061__250m_16_days_pixel_reliability,MOD13Q1_061__250m_16_days_VI_Quality_bitmask,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow_Description,MOD13Q1_061__250m_16_days_pixel_reliability_bitmask,MOD13Q1_061__250m_16_days_pixel_reliability_MODLAND,MOD13Q1_061__250m_16_days_pixel_reliability_MODLAND_Description
incendio,1026,-7.3154,-76.7077,2005-06-26,h10v09,3511.0,1880.0,0.6445,0.0707,0.8784,0.3662,0.024,185.0,0.0237,58.98,39.54,12.65,4164.0,0.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
incendio,1026,-7.3154,-76.7077,2005-07-12,h10v09,3511.0,1880.0,0.5344,0.0511,0.8503,0.3066,0.0183,204.0,0.0248,-117.01,33.07,49.32,4168.0,1.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
incendio,1026,-7.3154,-76.7077,2005-07-28,h10v09,3511.0,1880.0,0.6425,0.0853,0.8354,0.3781,0.0323,219.0,0.0339,47.4,37.56,37.49,4164.0,0.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
incendio,1026,-7.3154,-76.7077,2005-08-13,h10v09,3511.0,1880.0,0.573,0.0826,0.7838,0.3532,0.0341,226.0,0.0428,46.73,34.94,26.16,4164.0,0.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
incendio,1026,-7.3154,-76.7077,2005-08-29,h10v09,3511.0,1880.0,0.5721,0.0848,0.7635,0.3624,0.0377,242.0,0.0486,38.63,31.17,26.35,4164.0,0.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
incendio,1026,-7.3154,-76.7077,2005-09-14,h10v09,3511.0,1880.0,0.5376,0.0933,0.7604,0.3344,0.0352,265.0,0.0455,24.54,24.39,12.92,4369.0,1.0,0b0001000100010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
incendio,1026,-7.3154,-76.7077,2005-09-30,h10v09,3511.0,1880.0,0.6097,0.083,0.7754,0.4033,0.0353,285.0,0.051,6.73,27.6,53.95,4168.0,1.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
incendio,1026,-7.3154,-76.7077,2005-10-16,h10v09,3511.0,1880.0,0.3716,0.1368,0.5195,0.352,0.0987,302.0,0.1113,165.97,17.35,30.44,4110.0,3.0,0b0001000000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000011,0b00000000000000000000000000000011,"Cloudy data, Target not visible, covered with cloud"
incendio,1026,-7.3154,-76.7077,2005-11-01,h10v09,3511.0,1880.0,0.662,0.0671,0.8538,0.3614,0.0367,316.0,0.0285,147.87,16.85,49.73,4168.0,1.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
incendio,1026,-7.3154,-76.7077,2005-11-17,h10v09,3511.0,1880.0,0.7688,0.0878,0.8414,0.5135,0.0337,331.0,0.0442,-23.57,27.94,36.63,4369.0,1.0,0b0001000100010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
