target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
0,2000-01-02,-6.097161064451766,-76.22638691915272,1,2,2,2000,676.7848781541461,0,28.94,28.94,85.23,85.23,0.03,1.0,0.03,0.03
0,2000-01-02,-5.9287884158970305,-76.31836219337158,1,2,2,2000,658.0955141645704,0,28.94,28.94,85.23,85.23,0.03,1.0,0.03,0.03
0,2000-01-02,-5.702364736345534,-76.72144500150783,1,2,2,2000,632.9624857343542,0,28.09,28.09,80.09,80.09,0.08,1.0,0.01,0.01
0,2000-01-02,-7.510787208532104,-75.93881161563174,1,2,2,2000,833.6973801470635,0,28.11,28.11,80.97,80.97,0.69,1.0,0.03,0.03
0,2000-01-02,-6.911906202214161,-76.30385492841812,1,2,2,2000,767.2215884457719,0,28.97,28.97,80.29,80.29,0.22,1.0,0.02,0.02
0,2000-01-03,-6.949415512269831,-76.30894649629607,1,3,3,2000,771.3851218619512,0,28.354999999999997,28.97,78.02000000000001,75.75,0.52,2.0,0.015,0.02
0,2000-01-03,-7.493235179350296,-76.56434016404388,1,3,3,2000,831.7491049078828,0,24.705,25.72,83.195,81.49,0.9099999999999999,2.0,0.21,0.21
0,2000-01-03,-6.509338593690795,-76.81131065559471,1,3,3,2000,722.5365838996782,0,26.86,27.3,73.16,72.67,0.39999999999999997,2.0,0.005,0.01
0,2000-01-04,-7.265385570436415,-76.15256195898944,1,4,4,2000,806.4577983184421,0,27.423333333333332,28.11,81.52,80.97,7.17,2.0,0.04,0.06
0,2000-01-04,-6.559793328628168,-75.94281873717337,1,4,4,2000,728.1370594777267,0,28.36,28.84,81.91,76.77,6.050000000000001,2.0,0.02666666666666667,0.04
0,2000-01-04,-5.603013181516009,-76.25847933744605,1,4,4,2000,621.934463148277,0,28.830000000000002,29.48,88.50666666666666,85.28,2.61,2.0,0.036666666666666674,0.07
0,2000-01-04,-6.797128032172363,-76.15133853102378,1,4,4,2000,754.4812115711323,0,28.5,28.97,79.33,75.75,7.140000000000001,2.0,0.016666666666666666,0.02
0,2000-01-04,-6.1174086914739405,-75.65121133854548,1,4,4,2000,679.0323647536075,0,28.793333333333333,29.34,89.24666666666667,86.54,4.84,2.0,0.05333333333333334,0.1
0,2000-01-04,-6.741440234624422,-77.09605125719467,1,4,4,2000,748.2998660433109,0,26.45,27.3,75.11,72.67,4.82,2.0,0.006666666666666667,0.01
0,2000-01-04,-5.62794321017974,-76.97851232659868,1,4,4,2000,624.7016963299512,0,28.383333333333336,29.23,79.92333333333333,77.31,2.09,2.0,0.02666666666666667,0.04
0,2000-01-05,-7.5348116135080625,-76.04270078901092,1,5,5,2000,836.364089099395,0,27.79,28.89,81.8375,80.97,9.629999999999999,2.0,0.042499999999999996,0.06
0,2000-01-05,-7.192625795202753,-75.79931940133156,1,5,5,2000,798.3814632675056,0,29.1125,29.89,83.0075,78.36,9.07,2.0,0.0275,0.04
0,2000-01-05,-5.522972759309926,-75.80819311512354,1,5,5,2000,613.0499762834019,0,28.927500000000002,29.51,89.995,87.62,4.69,3.0,0.105,0.16
0,2000-01-06,-6.459421110313875,-76.2975020951517,1,6,6,2000,716.9957432448401,0,28.572000000000003,29.67,81.85799999999999,76.77,11.290000000000001,2.0,0.022,0.04
0,2000-01-06,-5.412071364186887,-77.00251056339543,1,6,6,2000,600.7399214247445,0,28.956,30.0,78.116,72.46,7.0600000000000005,3.0,0.038,0.08
0,2000-01-06,-7.449590892373755,-76.60010791486725,1,6,6,2000,826.9045890534868,0,25.259999999999998,26.22,82.738,79.37,8.64,2.0,0.22400000000000003,0.25
0,2000-01-06,-7.509252354285814,-75.54465114823546,1,6,6,2000,833.5270113257253,0,29.645999999999997,30.65,82.952,79.86,13.92,1.0,0.05600000000000001,0.1
0,2000-01-06,-7.536087990026042,-76.53899168088374,1,6,6,2000,836.5057668928906,0,27.834000000000003,28.89,81.63,80.8,12.06,2.0,0.04,0.06
0,2000-01-06,-5.304216028521146,-77.22955638933952,1,6,6,2000,588.7679791658471,0,27.4,29.45,65.67,62.2,3.16,4.0,0.44399999999999995,0.52
0,2000-01-06,-6.134775971165761,-75.80907324993491,1,6,6,2000,680.9601327993994,0,28.830000000000002,29.67,89.024,86.54,11.8,2.0,0.054000000000000006,0.1
0,2000-01-07,-7.132478183195441,-76.65634588857769,1,7,7,2000,791.7050783346939,0,27.761666666666667,28.97,77.49833333333333,72.73,9.71,3.0,0.02666666666666667,0.04
0,2000-01-07,-7.384620420011121,-76.77592855304549,1,7,7,2000,819.6928666212344,0,24.915000000000003,26.22,83.495,79.37,12.02,2.0,0.22166666666666668,0.25
0,2000-01-07,-6.623625617650361,-76.4412657181978,1,7,7,2000,735.2224435591901,0,28.108333333333334,29.67,83.27499999999999,76.77,18.3,2.0,0.023333333333333334,0.04
0,2000-01-07,-7.062719614900722,-75.90547044520231,1,7,7,2000,783.9618772539801,0,28.334999999999997,29.89,84.99666666666667,78.36,21.63,2.0,0.03666666666666667,0.08
