target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max,NDVI,EVI,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
0,2000-01-19,-6.394447416910339,-77.43791713673666,1,19,19,2000,709.7836632770476,0,23.79000000000002,0.745,0.3377,21.72222222222222,24.58,72.58611111111111,63.79,21.92,5.0,1.1094444444444445,1.41
0,2000-01-19,-5.928392145710498,-76.5403998802667,1,19,19,2000,658.0515281738653,0,23.55000000000001,0.2797,0.2033,27.741111111111113,29.5,86.68722222222222,80.53,87.3,3.0,0.052222222222222225,0.16
0,2000-01-20,-6.536547874138972,-77.31298293788737,1,20,20,2000,725.5568140294259,0,19.450000000000045,0.8286,0.4013,21.516315789473683,24.58,73.0878947368421,63.79,23.02,5.0,1.1394736842105262,1.68
0,2000-01-26,-5.636338028013915,-75.57133657890496,1,26,26,2000,625.6335211095445,0,29.810000000000002,0.1594,0.143,28.0312,29.51,90.62440000000001,87.62,204.62,4.0,0.13720000000000002,0.25
0,2000-01-28,-6.7893125147185724,-75.8130856477531,1,28,28,2000,753.6136891337616,0,24.350000000000023,0.5378,0.3808,28.314074074074075,30.9,83.99185185185186,75.27,93.03,3.0,0.044444444444444446,0.14
0,2000-01-28,-7.347666513055251,-77.19530347019538,1,28,28,2000,815.5909829491328,0,22.629999999999995,0.684,0.3288,19.117037037037036,21.97,79.45888888888888,69.44,40.59,3.0,1.4792592592592593,2.02
0,2000-01-30,-7.52002816732032,-76.85728021112728,1,30,30,2000,834.7231265725555,0,27.390000000000043,0.6971,0.5821,25.302413793103447,27.66,80.48068965517241,68.38,70.56,4.0,0.24310344827586206,0.29
0,2000-01-31,-6.961563570088446,-77.02222304631809,1,31,31,2000,772.7335562798174,0,18.110000000000014,0.0628,0.0672,28.137,31.01,75.64566666666666,64.53,67.3,3.0,0.036333333333333336,0.11
0,2000-02-01,-6.113994500362599,-76.09851389136325,2,1,32,2000,678.6533895402486,0,24.950000000000045,0.5701,0.3856,27.421666666666667,29.5,87.57666666666667,80.53,168.29,2.0,0.061000000000000006,0.16
0,2000-02-04,-5.965105049339228,-76.99859959497034,2,4,35,2000,662.1266604766544,0,26.370000000000005,0.7832,0.6374,25.233666666666668,27.76,82.48133333333334,70.35,152.03,1.0,0.024333333333333332,0.12
0,2000-02-08,-6.791553468522542,-76.19850061841751,2,8,39,2000,753.8624350060022,0,31.870000000000005,0.5737,0.3358,28.857666666666667,31.9,77.98766666666667,66.89,78.27,4.0,0.037000000000000005,0.1
0,2000-02-09,-7.391380566669081,-77.4628689446306,2,9,40,2000,820.443242900268,0,22.210000000000036,0.8262,0.5541,18.627,21.15,81.55666666666666,69.44,70.05,1.0,1.5896666666666666,2.08
0,2000-02-10,-6.558646082464617,-76.16096804971144,2,10,41,2000,728.0097151535725,0,27.99000000000001,0.9442,0.5605,28.255,30.76,81.40633333333334,72.66,74.24000000000001,7.0,0.047,0.09
0,2000-02-11,-7.53303009358015,-76.30539007678105,2,11,42,2000,836.1663403873966,0,24.07000000000005,0.152,0.1366,28.352,31.55,78.20066666666666,68.72,95.61,2.0,0.05633333333333334,0.12
0,2000-02-12,-6.269350897351528,-76.17554961545872,2,12,43,2000,695.8979496060197,0,29.33000000000004,0.4196,0.2867,28.390333333333334,31.01,81.16900000000001,72.66,79.28,5.0,0.04466666666666667,0.09
0,2000-02-14,-5.855822399079694,-75.69747959221154,2,14,45,2000,649.996286297846,0,26.57000000000005,0.0569,0.0559,28.083000000000002,29.91,89.61966666666667,85.96,107.71,6.0,0.07833333333333334,0.18
0,2000-02-15,-5.668562711065817,-75.61105576661728,2,15,46,2000,629.2104609283058,0,28.810000000000002,0.0693,0.0647,28.016000000000002,29.73,90.481,86.63,135.63,6.0,0.127,0.25
0,2000-02-15,-6.768246356022148,-77.34898684785115,2,15,46,2000,751.2753455184585,0,26.010000000000048,0.8806,0.6797,19.208666666666666,22.56,81.77266666666668,67.94,106.75,3.0,0.9663333333333333,1.31
0,2000-02-17,-6.825057480379352,-77.49883680928833,2,17,48,2000,757.581380322108,0,19.55000000000001,0.8306,0.5221,18.898666666666664,21.97,82.86566666666667,75.62,125.85999999999999,2.0,0.9490000000000001,1.31
0,2000-02-18,-7.149862558736682,-77.09989679523933,2,18,49,2000,793.6347440197718,0,28.150000000000034,0.8766,0.4858,27.94066666666667,31.73,76.83833333333334,67.4,127.52000000000001,0.0,0.034333333333333334,0.11
0,2000-02-19,-5.8091800479019735,-77.2012977286717,2,19,50,2000,644.8189853171191,0,22.629999999999995,0.8075,0.5876,20.254666666666665,23.47,83.86066666666667,76.75,138.06,2.0,1.329,1.82
0,2000-02-20,-6.794519962222771,-76.90986347869215,2,20,51,2000,754.1917158067275,0,23.390000000000043,0.4885,0.4377,27.860000000000003,31.73,77.52133333333335,67.4,134.77,1.0,0.03233333333333334,0.09
0,2000-02-23,-6.040209440060914,-75.6194334979568,2,23,54,2000,670.4632478467614,0,28.57000000000005,0.3936,0.2894,27.966,29.91,89.95966666666666,86.34,113.28,1.0,0.09433333333333334,0.22
0,2000-02-23,-6.064968975705764,-75.80158619111924,2,23,54,2000,673.2115563033398,0,28.33000000000004,0.5071,0.3799,27.966,29.91,89.95966666666666,86.34,113.28,1.0,0.09433333333333334,0.22
0,2000-02-24,-6.0889717541826,-76.72492959412638,2,24,55,2000,675.8758647142686,0,25.430000000000007,0.0537,0.0528,25.028333333333332,27.61,84.18033333333332,77.82,136.07000000000002,1.0,0.033,0.14
0,2000-02-26,-6.836006339265761,-75.80496615427175,2,26,57,2000,758.7967036584994,0,25.730000000000018,0.4569,0.3132,28.43,31.8,84.24966666666666,75.57,141.59,1.0,0.042,0.19
0,2000-02-27,-7.597875070160168,-76.24368895263702,2,27,58,2000,843.3641327877787,0,21.170000000000016,0.3027,0.2474,27.307000000000002,31.55,82.94399999999999,70.17,191.09,0.0,0.059666666666666666,0.12
0,2000-02-27,-7.2889510765606325,-76.46654281298771,2,27,58,2000,809.0735694982302,0,26.850000000000023,0.7925,0.5897,27.307000000000002,31.55,82.94399999999999,70.17,191.09,0.0,0.059666666666666666,0.12
0,2000-02-28,-6.061671698446887,-76.35844064270319,2,28,59,2000,672.8455585276045,0,29.150000000000034,0.836,0.5129,27.509,29.5,87.377,82.41,148.69,2.0,0.06733333333333333,0.14
0,2000-03-01,-7.1977592020733425,-77.03415799769597,3,1,61,2000,798.951271430141,0,25.33000000000004,0.6908,0.4573,27.134333333333334,31.73,80.37766666666667,67.4,170.91,1.0,0.036,0.09
0,2000-03-03,-5.9787702159042375,-76.39270327711898,3,3,63,2000,663.6434939653703,0,29.470000000000027,0.2808,0.2252,27.500999999999998,29.5,87.55333333333333,82.41,190.87,2.0,0.06699999999999999,0.14
0,2000-03-06,-5.5941151159540015,-75.60783919102062,3,6,66,2000,620.9467778708942,0,30.210000000000036,0.8416,0.6391,27.925333333333334,29.72,90.33200000000001,86.63,251.19,2.0,0.13066666666666665,0.23
0,2000-03-06,-6.190864426146802,-76.12967606406326,3,6,66,2000,687.185951302295,0,25.49000000000001,0.2042,0.1788,27.273000000000003,29.5,88.12566666666666,82.41,213.36,2.0,0.066,0.14
0,2000-03-08,-6.796720182530489,-75.69073110670904,3,8,68,2000,754.4359402608843,0,22.930000000000007,0.1007,0.0917,28.18,31.8,85.03333333333333,75.57,159.52,3.0,0.035333333333333335,0.19
0,2000-03-08,-7.401018606692293,-76.00185651713339,3,8,68,2000,821.5130653428446,0,26.33000000000004,0.8872,0.5248,26.714,31.55,85.35133333333333,70.17,215.04999999999998,1.0,0.057666666666666665,0.12
0,2000-03-10,-5.323979357908248,-75.76496426046252,3,10,70,2000,590.9617087278156,0,28.49000000000001,0.7997,0.5916,27.832666666666668,29.72,90.58166666666668,87.11,265.59,2.0,0.131,0.23
0,2000-03-10,-7.278446400857449,-77.33703515392486,3,10,70,2000,807.9075504951769,0,20.53000000000003,0.0388,0.0366,17.635333333333335,20.05,85.896,78.75,185.19000000000003,0.0,1.5093333333333334,1.85
0,2000-03-11,-5.752288568187965,-75.61867904444058,3,11,71,2000,638.5040310688642,0,27.010000000000048,0.8639,0.7043,27.68933333333333,29.5,90.512,87.11,227.24,3.0,0.09466666666666668,0.22
0,2000-03-11,-5.882916892819359,-76.86515934904114,3,11,71,2000,653.0037751029488,0,25.57000000000005,0.1589,0.1384,24.401666666666664,27.61,86.304,78.35,225.75,2.0,0.044333333333333336,0.14
0,2000-03-12,-7.500619459820059,-77.36318050509186,3,12,72,2000,832.5687600400265,0,18.75,0.476,0.3173,17.663,20.05,85.96566666666668,78.75,160.82,1.0,1.5,1.85
0,2000-03-12,-6.2190640726250495,-76.93105958473025,3,12,72,2000,690.3161120613805,0,26.090000000000032,0.6358,0.4672,24.336333333333332,27.61,86.40166666666667,78.35,230.57,2.0,0.044000000000000004,0.14
0,2000-03-14,-5.926005528348797,-76.66451761423114,3,14,74,2000,657.7866136467164,0,26.210000000000036,0.8241,0.5392,24.160666666666664,26.54,86.729,78.56,235.63,2.0,0.044333333333333336,0.14
0,2000-03-15,-7.156566202951519,-76.39767455117727,3,15,75,2000,794.3788485276186,0,33.870000000000005,0.7804,0.6722,27.477333333333334,31.19,83.38966666666667,73.05,156.85000000000002,1.0,0.042666666666666665,0.15
0,2000-03-15,-6.882432262080377,-75.90126287963834,3,15,75,2000,763.9499810909218,0,23.970000000000027,0.4241,0.2596,27.714,29.9,85.73933333333333,79.24,158.46,1.0,0.038,0.19
0,2000-03-15,-5.353246300739066,-75.96334736686653,3,15,75,2000,594.2103393820363,0,31.75,0.5097,0.3391,27.268333333333334,29.07,90.67933333333333,86.98,297.5,1.0,0.08099999999999999,0.17
0,2000-03-16,-7.20916394163281,-76.74882653338932,3,16,76,2000,800.2171975212419,0,12.79000000000002,0.2703,0.2121,26.308333333333334,30.16,83.273,71.91,155.79,1.0,0.042333333333333334,0.13
