,No incendio (0),Incendio (1),Diferencia %
Temp_max_avg,28.26622847148326,29.349039630473648,3.8
Temp_max_max,31.2453905656468,32.0425838454987,2.6
Humidity_avg,76.29103973917007,68.31692904111901,-10.5
Humidity_min,65.81259870617215,57.330799668531185,-12.9
Precip_total,84.29973962290214,46.96385447598003,-44.3
Days_no_rain,4.200174966042774,5.44352369771885,29.6
Wind_avg,0.31038754477150693,0.28597480990416557,-7.9
Wind_max,0.4769774616110689,0.43687682710678366,-8.4
