Ruta,Registros,Variables,Clase 1 (%),Archivo
A - completa (MODIS + POWER),15164,19,28.7,dataset_rutaA_completo.csv
B - amplia (solo POWER),86880,16,50.0,dataset_rutaB_power_amplio.csv
